Brand#,DNVB?,List,Rank,Company,Category,addressCountry (LI),Founded (LI),Web 60 Social 40,Website,Tags,Description,Ecommerce Platform,Logo,LinkedIn,Region,Headquarters (LI),Type (LI),Specialties (LI),Company_size (LI),Facebook,FB Followers,FB Likes,Instagram,Pinterest,Youtube,TikTok,Twitter,Traffic Adjusted,FB AVG,IG Followers,YT Followers,PI Followers,TT Followers,TW Followers,"Aggr Social (0.25 FB, 0.25 IG, 0.15 YT, 0.05 PI, 0.2 TT, 0.1 TW)",2020-2022 Growth
1548,Y,Country - Brazil,320,Sallve,Beauty & Cosmetics,BR,2018,"206,711",https://www.sallve.com.br/,Skincare,,,,https://www.linkedin.com/company/sallve/,#REF!,"São Paulo, São Paulo",Privately Held,"beauty, beleza, internet, customer experience, cosméticos, e-commerce, and marca",51-200 employees,https://www.facebook.com/sallve,"40,101","37,048",https://www.instagram.com/sallve/,ressecamento labial!&utm_medium=shareblog&utm_source=pinterest&utm_campaign=sallve_manteiga-de-shorea-para-labios-ressecados,https://www.youtube.com/c/Sallve,https://www.tiktok.com/@sallve?,https://twitter.com/share?url=https://www.sallve.com.br/blogs/sallve/acido-malico&utm_medium=shareblog&utm_source=twitter&utm_campaign=sallve_acido-malico,"200,604","38,575","677,079","3,110",,"178,800","7,306",215870.475,-6.53%
1124,,master,321,Magic Spoon,Food & Beverage,US,2019,"204,746",https://magicspoon.com/,,,,https://media-exp1.licdn.com/dms/image/C4D0BAQGGPG7_kiP3TQ/company-logo_400_400/0/1554814042971?e=1634169600&v=beta&t=LAviiN00kes4RG5HTCmFtQGZlcxbU7yzj-erhnSntYg,https://www.linkedin.com/company/magic-spoon-cereal/,#REF!,"New York, NY, NY",Privately Held,not_avil,1-10 employees,https://www.facebook.com/magicspooncereal/,"82,507","77,634",https://www.instagram.com/magicspooncereal/,https://www.pinterest.com/015u4evrmey08mnqfx05jrot40m64c/,https://www.youtube.com/channel/UCyeYAJfa9NNO7iOxibxSQbQ,https://www.tiktok.com/@magicspooncereal?,https://twitter.com/eatmagicspoon,"271,565","80,071","333,106",18,146,"4,535","3,066",104517.725,-10.80%
1883,,master,322,Vitaly Inc.,Fashion & Apparel,CA,2011,"204,637",https://www.vitalydesign.com/,,,Shopify,https://media-exp1.licdn.com/dms/image/C4D0BAQHUvGMxzbpWig/company-logo_400_400/0/1519894382635?e=1635379200&v=beta&t=llvbMgmUyngmf5SaELWu7mqo_xLV0aHBa2H7CafOQpE,https://www.linkedin.com/company/vitaly-design,#REF!,"Toronto, Ontario",Privately Held,not_avil,11-50 employees,https://www.facebook.com/vitalydesign/,"193,284","190,063",https://www.instagram.com/vitaly/,https://www.pinterest.com/vitalydesign/,https://www.youtube.com/watch?v=0M8sEcr_USg,https://www.tiktok.com/@vitalydesign?,https://twitter.com/vitaly_design,"182,527","191,674","746,918","1,200","14,667","11,200",,237801.225,0.87%
1007,,1800,323,Kotn,Fashion & Apparel,CA,2015,"203,466",https://kotn.com/,Casual Wear,"An apparel brand developing products around the principles of considered design, relentless quality, honest value, and positive impact.","Zendesk,Hubspot,Shogun,Boost Commerce,Netlify,WordPress,Sendgrid,Lifetimely,Ambassador,FullStory,Hotjar,MailChimp,Weglot,Shopify Plus,Junip,Klaviyo,Intercom,Shoelace,Vercel,GRIN,SEO Manager,Mixpanel,Shopify,Next.js,Segment,Ada Support,Sanity",,https://www.linkedin.com/company/kotn/,#REF!,"Toronto, ON",Privately Held,not_avil,11-50 employees,https://www.facebook.com/kotnbasics/,"14,196","13,619",https://instagram.com/kotn,https://pinterest.com/kotnworld/_created/,,https://www.tiktok.com/@kotnworld?,https://twitter.com/kotnworld,"312,884","13,908","143,154",,"1,033",109,,39338.825,-10.90%
1319,Y,2:00 PM,324,Onnit,Health & Wellness,US,2010,"201,389",onnit.com,,,Custom,,https://www.linkedin.com/company/onnit-labs/,#REF!,"Austin, TX",Privately Held,"Nutrition, Fitness, Human Optimization, and Health",51-200 employees,https://www.facebook.com/groups/onnittribe/,,,http://instagram.com/onnitacademy,https://www.pinterest.com/onnit/,https://www.youtube.com/onnitlabs,https://www.tiktok.com/@getonnit?,https://twitter.com/onnit,"296,017",0,"141,642","153,000","17,894",963,,59447.8,-7.53%
514,,master,325,Drunk Elephant,Beauty & Cosmetics,US,2012,"200,461",http://www.drunkelephant.com/,,,,https://media-exp1.licdn.com/dms/image/C4E0BAQEV7p6LlxzmcA/company-logo_400_400/0/1603309818465?e=1634169600&v=beta&t=BvaZgauK8s4sC-r9mnPHyAdlKyaKbJ6N1zT-_vc8Gx4,https://www.linkedin.com/company/drunk-elephant-llc,#REF!,"Houston, Texas",Public Company,not_avil,51-200 employees,https://www.facebook.com/DrunkElephantSkinCare,"64,190","61,957",https://www.instagram.com/drunkelephant/,https://www.pinterest.com/drunkelephant/,https://www.youtube.com/c/DrunkElephantSkincare,https://www.tiktok.com/@drunkelephant?,https://twitter.com/mydrunkelephant,"117,851","63,074","1,202,976","3,300","6,714","34,500","1,331",324376.175,-0.07%
1363,,new,326,Paloma Wool,Fashion & Apparel,ES,not_avil,"199,242",https://palomawool.com/,,,,,https://www.linkedin.com/company/paloma-wool/,#REF!,"Barcelona, Spain",Privately Held,not_avil,11-50 employees,https://www.facebook.com/palomawool/,"14,435","13,857",https://www.instagram.com/palomawool/,https://pinterest.com/palomawool/_saved/,https://www.youtube.com/watch?v=s6By3cgGOlo,https://www.tiktok.com/@paloma_wool,,"225,848","14,146","615,771",,"8,056","7,249",,159331.85,-40.38%
1406,,master,327,Plains and Prints,Fashion & Apparel,PH,not_avil,"199,177",https://www.plainsandprints.com/,,,,https://scontent.fcxh3-1.fna.fbcdn.net/v/t1.6435-9/91737498_10156834147515178_2132815836467953664_n.jpg?_nc_cat=102&ccb=1-5&_nc_sid=09cbfe&_nc_ohc=RsYCygwlHfUAX9tMl9I&_nc_ht=scontent.fcxh3-1.fna&oh=480a69ebae5f890450f5d2b960b6c214&oe=6140E017,https://www.linkedin.com/company/plains-&-prints/,#REF!,Ilocos Norte,not_avil,not_avil,not_avil,https://www.facebook.com/plainsandprints,"1,731,184","1,724,393",https://www.instagram.com/plainsandprints/,https://www.pinterest.com/plainsprints16/,https://www.youtube.com/user/PlainsandPrintsTV,https://www.tiktok.com/@plainsandprints?,https://twitter.com/PlainsandPrints,0,"1,727,789","263,555",521,71,108,35,497942.675,#N/A
669,,1800,328,Frankies Bikinis,Fashion & Apparel,US,2012,"199,011",https://frankiesbikinis.com/,Swim,"Frankies Bikinis sells fashion-forward beachwear inspired by Malibu and made in Los Angeles. Known for high-end fabrics, fashion forward shapes, and cheeky bottoms, their bikinis look great on everybody.","Zendesk,WhatsApp,POWr,Global-e,Narvar,Visual Website Optimizer,accessiBe,Friendbuy,Teads,Aimtell,Afterpay,Store Locator,Yotpo,WordPress,Back in Stock,Sendgrid,Recart for Shopify,Recart,Hotjar,MailChimp,Stamped,Shopify Plus,LiveRamp,Klaviyo,Returnly,Snowplow,Foursixty,JustUno,Olark,GRIN,Loyalty Lion,Outbrain,Shopify,SteelHouse",,https://www.linkedin.com/company/frankies-bikinis-llc/,#REF!,"Venice, California",Privately Held,swimwear and apparel,11-50 employees,https://facebook.com/frankiesbikinis,"51,363","49,642",https://instagram.com/frankiesbikinis,https://www.pinterest.com/frankiesbikinis/?etslf=10787&eq=frankiesbi,https://www.youtube.com/channel/UCL4yRIO0TJOjTesddoMS55A,https://www.tiktok.com/@frankiesbikinis,https://twitter.com/frankiesbikinis,"89,121","50,503","1,276,638","5,960","5,837","150,200","8,363",363847.275,-6.73%
1224,,master,329,Mybillie,Health & Wellness,US,2017,"198,604",mybillie.com,,,Shopify,https://media-exp1.licdn.com/dms/image/C4D0BAQG8trOpJMKvVQ/company-logo_400_400/0/1519905647534?e=1634169600&v=beta&t=NnQhXFx__ZedjJDRXG6jcNIJhMTbq2uISW0xPOVJnLQ,https://www.linkedin.com/company/mybillie/,#REF!,"New York, NY",Privately Held,not_avil,11-50 employees,https://www.facebook.com/billiebodybrand,"149,763","142,408",https://www.instagram.com/billie/,https://www.pinterest.com/billiebodybrand/,,,https://twitter.com/billiebody,"258,078","146,086","281,115",,"12,046",,"19,900",109392.425,-6.09%
1874,Y,Country - Argentina,330,Viamo,Fashion & Apparel,AR,1988,"198,240",https://www.viamo.com/,Shoes and accesories for women,,,,https://www.linkedin.com/company/viamo-zapatos/,#REF!,"Buenos Aires, Ciudad autónoma de Buenos Aires",Privately Held,"Moda, Calzado, Botinetas, Zapatillas, Carteras y Cintos, and Cuero",201-500 employees,https://www.facebook.com/viamozapatos,"418,977","382,683",https://www.instagram.com/viamozapatos/?hl=es-la,https://pinterest.com/VIAMOoficial/_saved/,https://www.youtube.com/channel/UCNF2ckcrHuUiAIaeOuUuEmg,,https://twitter.com/JoinViamo?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,"159,871","400,830","622,256",141,2,,,255792.75,7.62%
534,,master,331,Eight Sleep,Home & Kitchen,US,2014,"194,542",http://eightsleep.com,,,,https://media-exp1.licdn.com/dms/image/C4E0BAQEBpdEUv_2r9w/company-logo_400_400/0/1550059302544?e=1634169600&v=beta&t=dxn99e15Qkr6_zal8MQRn8XP0lHatgk30wu1zX8wf_M,https://www.linkedin.com/company/eight--,#REF!,"New York, New York",Privately Held,not_avil,11-50 employees,https://www.facebook.com/eightsleep,"40,497","38,836",https://www.instagram.com/eightsleep/,https://www.pinterest.com/eightsleep/,https://www.youtube.com/c/lunasleep,https://www.tiktok.com/@eight.sleep?,https://twitter.com/eightsleep,"305,195","39,667","49,293","2,290","1,375","23,700","11,700",28562.125,4.59%
912,,1800,332,Itch,Pet Care,GB,2018,"193,943",https://www.itchpet.com/,Pet supplements,"From fleas, ticks and worms to calming, dental and joints - you can create the perfect programme of treatments to help your pet live a happy and healthy life.","Zendesk,Optimizely,Hubspot,WhatsApp,Unbounce,Yotpo,Klaviyo,WordPress,Affiliate Window,Outbrain,Uncapped,SessionCam,Trustpilot,FullStory,Hotjar,Smooch",,https://www.linkedin.com/company/itchpets/,#REF!,"London, England",Privately Held,"e-commerce, Pet Supplies, and Wellbeing",51-200 employees,https://www.facebook.com/itchpet/,"18,807","18,033",https://www.instagram.com/itchpet/,https://pinterest.com/itchpet/_created/,https://www.youtube.com/channel/UCgRA2jjBEkLiEVsvwDFYrFQ,https://www.tiktok.com/@itch.pet?,https://twitter.com/itchpet?lang=en/,"318,440","18,420","9,084",29,7,8,"3,153",7197.6,-0.94%
326,,master,333,Caraway,Home & Kitchen,US,2018,"193,750",https://www.carawayhome.com/,,,,https://media-exp1.licdn.com/dms/image/C4E0BAQFNYIvufMJT_g/company-logo_400_400/0/1572922898168?e=1634169600&v=beta&t=c3MzTvsDmntFymeo4QcbSCwKBTToAsjTl-bOrgYG4dU,https://www.linkedin.com/company/carawayhome/,#REF!,"New York, New York",Privately Held,not_avil,11-50 employees,https://www.facebook.com/carawayhome,"39,491","33,229",https://www.instagram.com/caraway_home/,https://www.pinterest.com/CarawayHome/,https://www.youtube.com/channel/UCJsXvgPNLuAnfgdbkvTxEbQ,https://www.tiktok.com/@carawayhome?lang=en,https://twitter.com/CarawayHome,"257,914","36,360","345,005",20,759,"10,600",28,97505,-2.51%
1467,,master,334,quip,Health & Wellness,US,2014,"193,326",http://www.getquip.com,,,,https://media-exp1.licdn.com/dms/image/C510BAQFeEN3Fh249wA/company-logo_400_400/0/1519927659699?e=1634169600&v=beta&t=hfE3z29UfqFLblEoR4ibDou6lajYzXZu7af07eqrl_U,https://www.linkedin.com/company/quip-,#REF!,"Brooklyn, NY",Privately Held,"Oral Care Products, ecommerce, Oral Health, and Direct To Consumer",51-200 employees,https://www.facebook.com/getquip,"70,962","69,454",https://www.instagram.com/quip/,https://www.pinterest.com/getquip/,https://www.youtube.com/user/getquip,https://www.tiktok.com/@getquip?,https://www.twitter.com/getquip,"291,844","70,208","105,514","2,930","3,956","4,911",,45550,-12.21%
1002,,1800,335,Konmari,Home & Kitchen,US,2015,"193,169",https://konmari.com/,Home improvement,"KonMari offers a suite of products, services and content designed to help organize your home and bring joy to your life.","Algolia,Shogun,Boost Commerce,POWr,Ruby,WordPress,Back in Stock,Sendgrid,Rise.ai,MailChimp,LiveRamp,Unbounce,Klaviyo,Bold Bundles,Bold Commerce,Mixpanel,CrazyEgg,Shopify,Omnisend,Zonos",,https://www.linkedin.com/company/konmari-media-inc/,#REF!,"Los Angeles, California",Privately Held,not_avil,1-10 employees,https://www.facebook.com/konmari.co/,"40,953","37,081",https://instagram.com/konmari.co,https://pinterest.com/konmari/_created/,https://www.youtube.com/channel/UCNaPKFA1niUFRgzkVqqhJVg,https://www.tiktok.com/@konmari_co?,http://www.twitter.com/konmari_co,"106,076","39,017","843,294","675,000","39,468",34,,323807.95,-2.94%
